WebP Name,Image Name,Image Source,Original Size (KB),WebP Size (KB),1/SSIM Value,Area/1000,Normalized Area,Image Value,Reduction Factor,Target Size of Image
home_icon.webp,home_icon.svg,https://www.gstatic.com/navigationdrawer/home_icon.svg,0.2265625,0.1171875,1.0141249368650564,0.576,0.0021296262062335,1.01625456307129,-,0.1171875
search_activity_icon.webp,search_activity_icon.svg,https://www.gstatic.com/navigationdrawer/search_activity_icon.svg,0.3837890625,0.212890625,1.009108691654872,0.576,0.0021296262062335,1.0112383178611055,0.24204802296618078,0.3055228477888443
save_icon.webp,save_icon.svg,https://www.gstatic.com/navigationdrawer/save_icon.svg,0.9921875,0.1171875,1.0266631509750193,0.576,0.0021296262062335,1.0287927771812528,-,0.1171875
settings_icon.webp,settings_icon.svg,https://www.gstatic.com/navigationdrawer/settings_icon.svg,0.8486328125,0.17578125,1.0091078481882003,0.576,0.0021296262062335,1.011237474394434,-,0.17578125
privacy_advisor_icon.webp,privacy_advisor_icon.svg,https://www.gstatic.com/navigationdrawer/privacy_advisor_icon.svg,0.7275390625,0.263671875,1.01099663057518,0.576,0.0021296262062335,1.0131262567814134,0.24249991632808185,0.3060932459484037
explicit_icon.webp,explicit_icon.svg,https://www.gstatic.com/navigationdrawer/explicit_icon.svg,0.2490234375,0.123046875,1.0054417231880388,0.576,0.0021296262062335,1.0075713493942724,-,0.123046875
how_search_works_icon.webp,how_search_works_icon.svg,https://www.gstatic.com/navigationdrawer/how_search_works_icon.svg,0.4296875,0.166015625,1.032774331187723,0.576,0.0021296262062335,1.034903957393957,-,0.166015625
help_icon.webp,help_icon.svg,https://www.gstatic.com/navigationdrawer/help_icon.svg,0.4541015625,0.201171875,1.0164254856541974,0.576,0.0021296262062335,1.018555111860431,-,0.201171875
feedback_icon.webp,feedback_icon.svg,https://www.gstatic.com/navigationdrawer/feedback_icon.svg,0.2666015625,0.12890625,1.062801789812868,0.576,0.0021296262062335,1.0649314160191017,-,0.12890625
googlelogo_color_160x56dp.webp,googlelogo_color_160x56dp.png,https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_160x56dp.png,6.8828125,5.037109375,2.0209670259707417,35.84,0.1325100750545347,2.153477101025276,0.5154520607057375,0.6506245312627437
